question,document
Can I still join the course if I just found it now?,74eb249bbf
Is it too late to sign up for the course and start learning?,74eb249bbf
"If I join late, can I still get a certificate somehow?",74eb249bbf
Do I have to finish the project before submissions close to get certified?,74eb249bbf
What happens if I join now but miss the project submission deadline?,74eb249bbf
"I signed up for the LLM Zoomcamp, but I never got any confirmation email — does that mean my registration didn't go through?",977bf7786c
Do I actually need a confirmation message before I can start the LLM Zoomcamp lessons and homework?,977bf7786c
"If I registered for the course, is there some approved list I need to be on before submitting assignments?",977bf7786c
"Can I just begin studying and turn in homework now, or do I have to wait for a registration email first?",977bf7786c
What is the purpose of registering for the LLM Zoomcamp if it doesn’t affect access to the course?,977bf7786c
How do I join the Office Hours or live workshop if I’m a student?,489dd1c9d9
Where can students watch the live sessions for the course?,489dd1c9d9
"Is the Zoom link for office hours shared with everyone, or only the teaching team?",489dd1c9d9
What’s the best place to find the stream link before an Office Hours session starts?,489dd1c9d9
"If I have a question during the live session, should I ask it in chat or use Slido?",489dd1c9d9
Where should I begin if I want to follow this course properly?,04919992b3
What’s the usual weekly routine for watching the lessons and doing the work?,04919992b3
"Do I need to start on a fixed date, or can I join anytime?",04919992b3
Where do I check the deadlines and submit the homework answers?,04919992b3
"Is the homework basically the same as the lesson notebooks, or is it different?",04919992b3
I can’t find my name on the leaderboard — how do I jump to my own record?,c2903069a0
Why does the leaderboard show a random name instead of my real one?,c2903069a0
Where can I see or change the display name that shows up in the course leaderboard?,c2903069a0
How do I edit my course profile so my certificate doesn’t use the default name?,c2903069a0
What should I put in the nickname field vs the official name field in my course profile?,c2903069a0
Can I take the course on my own schedule and still get the certificate?,69d122f12e
Do you give certificates for the self-paced version of the course?,69d122f12e
"If I finish everything later by myself, will I still be able to get a certificate?",69d122f12e
Why is a certificate only available in the live cohort and not self-paced?,69d122f12e
Do I need to be in the active course run to do the peer reviews required for certification?,69d122f12e
"Can I still earn the certificate if I missed the first homework, or is that a requirement?",9f689c185f
Do I have to do all the homework to get certified in the course?,9f689c185f
What do I actually need to pass in order to receive the certificate?,9f689c185f
"If homework isn't required, what role does it play in the final result?",9f689c185f
Does missing an early homework hurt my chance of getting the course certificate?,9f689c185f
Why does the homework content keep changing before the deadline?,96286b4be4
How can I tell if a homework is actually ready and not still being edited?,96286b4be4
What does the [DRAFT] tag in the homework title mean?,96286b4be4
"Can I start doing the homework before it’s officially open, or is that risky?",96286b4be4
When is the final homework version considered stable enough to work on?,96286b4be4
When is the next time this course will be offered?,bd31146b0e
Do you know when the next course run starts?,bd31146b0e
Is there a summer 2027 session for this course?,bd31146b0e
When can I expect this course to be available again?,bd31146b0e
What’s the next offering date for the course?,bd31146b0e
Where do I find the course lectures and videos?,31456f4b5f
Is there a main place to start if I want to watch the lessons?,31456f4b5f
How do I get to the video links for each lesson?,31456f4b5f
Should I use the GitHub repo or the YouTube playlist to follow the course?,31456f4b5f
Where are the lesson videos located in the course materials?,31456f4b5f
