question,document
"I just found this course—can I still join it, or am I too late?",74eb249bbf
Is it okay to start the course after it has already begun?,74eb249bbf
"If I enroll now, can I still complete everything and get a certificate?",74eb249bbf
Do I need to finish the project before submissions close if I want the certificate?,74eb249bbf
What’s the deadline for the project if I want to qualify for a certificate?,74eb249bbf
"I just signed up for LLM Zoomcamp — when should I expect the confirmation email, or do I actually need one?",977bf7786c
Do I need to wait for any approval email before I can start the LLM Zoomcamp lessons and homework?,977bf7786c
"Is registration for the LLM Zoomcamp required to get access, or can I begin even if I never got a confirmation?",977bf7786c
"If I registered for the course but haven’t received anything back, does that mean my signup failed?",977bf7786c
What’s the point of registering for LLM Zoomcamp if I can already start learning and submitting homework?,977bf7786c
"How do I join the Office Hours or live workshop stream if I’m a student, and where do I ask questions?",489dd1c9d9
Where is the live video link for the course workshops usually posted before the session starts?,489dd1c9d9
"Do students get the Zoom link for office hours, or is it shared only with the teaching team?",489dd1c9d9
"Can I watch the live sessions on YouTube, and how do I send questions during the stream?",489dd1c9d9
"Should I use the chat to ask questions in live sessions, or is there a better place to submit them?",489dd1c9d9
What’s the best way to begin the LLM Zoomcamp and keep up with the weekly work?,04919992b3
"Do I need to start the course on a fixed date, or can I jump in anytime?",04919992b3
"Where should I look for the lesson videos, notebooks, homework details, and deadlines?",04919992b3
What’s the usual order for doing each week’s material and turning in homework?,04919992b3
"Is the homework basically the same as the lesson exercises, or does it use different tasks/data?",04919992b3
"Why can’t I find my name on the leaderboard, and how do I jump to my own record?",c2903069a0
I got some random username when I signed up — is that my display name on the leaderboard?,c2903069a0
How do I check what name is showing for me in the course profile?,c2903069a0
Can I change the nickname on the leaderboard to my Slack or GitHub name?,c2903069a0
What do I need to edit so my certificate shows my real legal name instead of the default one?,c2903069a0
Can I take this course on my own time and still get a certificate at the end?,69d122f12e
"If I do the course self-paced, will I be able to earn a certificate somehow?",69d122f12e
Why don’t you give certificates for people who finish the course outside a live cohort?,69d122f12e
Is peer reviewing the capstone project required to get the course certificate?,69d122f12e
"After the course form closes, can I still do the project reviews and qualify for a certificate?",69d122f12e
"Do I still qualify for the certificate if I skipped the first homework, or is that a requirement?",9f689c185f
What do I actually need to complete in order to get the course certificate?,9f689c185f
"Is homework mandatory for passing the course, or can I ignore it and still earn the certificate?",9f689c185f
"If homework isn't required, why should I bother doing it during the course?",9f689c185f
"Does missing homework affect the certificate, or does only the Capstone project matter?",9f689c185f
Why does the homework keep changing after I already started it?,96286b4be4
What does it mean when the homework title has [DRAFT] in it?,96286b4be4
How can I tell if a homework assignment is actually ready to do?,96286b4be4
Is it safe to start working on homework before the final version is out?,96286b4be4
Why is the homework form open but the task still not final yet?,96286b4be4
When is the next time this course will run?,bd31146b0e
Do you know when the course is scheduled again?,bd31146b0e
What’s the next offering date for this course?,bd31146b0e
When should I expect this course to be available again?,bd31146b0e
Is there a plan for the course to come back in Summer 2027?,bd31146b0e
"Where do I find the course videos, and what’s the best place to start if I’m new to the course?",31456f4b5f
Is there a single page or repo that links all the lectures for each lesson?,31456f4b5f
I can’t find the recordings—are the lesson videos inside the GitHub repo somewhere?,31456f4b5f
"Should I use the YouTube playlist first, or is the GitHub repo the main source for lecture links?",31456f4b5f
How do I get to the videos for a specific lesson in LLM Zoomcamp?,31456f4b5f
