question,answer_llm,answer_orig,document
Is it okay to join the course late if I just found it now?,"('Yes, you can still join the course late if you just discovered it. If you want a certificate, make sure to submit your project while submissions are still being accepted.', 0)","Yes, but if you want to receive a certificate, you need to submit your project while we’re still accepting submissions.",74eb249bbf
Can I still take this course even if I missed the start date?,"('Yes — you can start whenever you want. The videos and GitHub materials are available, and you can learn and submit homework while the course platform is still accepting submissions.\n\nIf you want a certificate, make sure to submit your capstone project before submissions close.', 0)","Yes, but if you want to receive a certificate, you need to submit your project while we’re still accepting submissions.",74eb249bbf
"If I join after the course has already started, am I still eligible for a certificate?","('Yes — if you join after the course has started, you can still be eligible for a certificate, but you need to submit your project while submissions are still being accepted.', 0)","Yes, but if you want to receive a certificate, you need to submit your project while we’re still accepting submissions.",74eb249bbf
Do I need to submit my project before submissions close to get the certificate?,"('Yes — to get the certificate, you need to submit your project while submissions are still being accepted.', 0)","Yes, but if you want to receive a certificate, you need to submit your project while we’re still accepting submissions.",74eb249bbf
I’m a bit late to the course—what do I need to do to still earn the certificate?,"('If you’re a bit late, you can still join the course, but to earn the certificate you need to:\n\n- submit your capstone project while submissions are still open, and\n- participate in peer-review by reviewing 3 peers’ capstone projects.\n\nHomework is not required for the certificate.', 0)","Yes, but if you want to receive a certificate, you need to submit your project while we’re still accepting submissions.",74eb249bbf
I registered for the LLM Zoomcamp — when should I expect a confirmation email?,"(""You don't need to wait for a confirmation email — you're accepted. You can start learning and submitting homework while the form is open, and registration is only used to gauge interest before the start date."", 0)",You don't need it. You're accepted. You can also just start learning and submitting homework (while the form is open) without registering. It is not checked against any registered list. Registration is just to gauge interest before the start date.,977bf7786c
Do I actually need an acceptance email before I can start the course and hand in homework?,"('No. You don’t need an acceptance email. You’re accepted, and you can start the course and submit homework as long as the homework form is open. Registration is just to gauge interest and is not checked against a registered list.', 0)",You don't need it. You're accepted. You can also just start learning and submitting homework (while the form is open) without registering. It is not checked against any registered list. Registration is just to gauge interest before the start date.,977bf7786c
"If I filled out the registration form, does that mean I’m officially on a checked list for the course?","('No. Registration is just to gauge interest before the start date, and it is not checked against any registered list. You can start learning and submitting homework while the form is open without being on a confirmed list.', 0)",You don't need it. You're accepted. You can also just start learning and submitting homework (while the form is open) without registering. It is not checked against any registered list. Registration is just to gauge interest before the start date.,977bf7786c
"Is registering for the LLM Zoomcamp required, or is it just for estimating interest before the course starts?","('Registration is not required. You can start learning and submitting homework without registering, as long as the form is open. The registration is just to gauge interest before the course starts.', 0)",You don't need it. You're accepted. You can also just start learning and submitting homework (while the form is open) without registering. It is not checked against any registered list. Registration is just to gauge interest before the start date.,977bf7786c
Can I begin learning and submit homework even if I never got any email after signing up?,"('Yes — you can start learning and submit homework even if you never received a confirmation email after signing up.\n\nYou don’t need the email. Registration is just to gauge interest, and it is not checked against a registered list.', 0)",You don't need it. You're accepted. You can also just start learning and submitting homework (while the form is open) without registering. It is not checked against any registered list. Registration is just to gauge interest before the start date.,977bf7786c
How do I join the Office Hours or live workshop if I don’t have the Zoom link?,"('The Zoom link is only published to instructors/presenters/TAs.\n\nIf you’re a student, join via the YouTube Live stream instead. The video URL is posted in the announcements channel on Telegram and Slack before the session starts, and you can also watch on the DataTalksClub YouTube channel. Questions should be submitted in Slido, not in chat.', 0)","The zoom link is only published to instructors/presenters/TAs.

Students participate via YouTube Live and submit questions to Slido (link is pinned in the chat when live). The video URL should be posted in the [announcements channel on Telegram and Slack](https://t.me/dezoomcamp) before it begins. You can also watch live on the DataTalksClub [YouTube Channel](https://www.youtube.com/c/DataTalksClub).

Don’t post questions in chat as they may be missed if the room is very active.",489dd1c9d9
"Where can I watch the live sessions for the course, and how do I ask questions during them?","('The live sessions are announced separately when they happen. Students can watch them on the DataTalksClub YouTube channel via YouTube Live, and the video link is posted in the announcements channel on Telegram and Slack before the session starts.\n\nTo ask questions during the live sessions, use Slido, with the link pinned in the chat when the session is live. Don’t rely on chat for questions, since messages may be missed.\n\nIf you’re stuck outside the live session, ask in Slack and follow the asking questions guidelines.', 0)","The zoom link is only published to instructors/presenters/TAs.

Students participate via YouTube Live and submit questions to Slido (link is pinned in the chat when live). The video URL should be posted in the [announcements channel on Telegram and Slack](https://t.me/dezoomcamp) before it begins. You can also watch live on the DataTalksClub [YouTube Channel](https://www.youtube.com/c/DataTalksClub).

Don’t post questions in chat as they may be missed if the room is very active.",489dd1c9d9
